CustomerID,Lookalikes
C0048,"[('C0096', 0.9074), ('C0091', 0.9039), ('C0069', 0.8908)]"
C0049,"[('C0067', 0.8634), ('C0184', 0.8462), ('C0034', 0.8177)]"
C0050,"[('C0115', 0.9998), ('C0112', 0.9574), ('C0186', 0.9429)]"
C0051,"[('C0039', 0.9295), ('C0045', 0.9151), ('C0162', 0.9144)]"
C0052,"[('C0038', 0.9054), ('C0160', 0.9006), ('C0076', 0.8999)]"
C0053,"[('C0143', 0.9607), ('C0145', 0.8805), ('C0141', 0.8534)]"
C0054,"[('C0188', 0.9168), ('C0051', 0.9099), ('C0028', 0.909)]"
C0055,"[('C0190', 0.997), ('C0069', 0.9222), ('C0091', 0.9061)]"
C0056,"[('C0034', 0.9713), ('C0092', 0.9112), ('C0010', 0.8684)]"
C0057,"[('C0021', 0.9796), ('C0087', 0.975), ('C0155', 0.9644)]"
C0058,"[('C0150', 0.9996), ('C0033', 0.9993), ('C0180', 0.9662)]"
C0059,"[('C0104', 0.9297), ('C0100', 0.9214), ('C0113', 0.8911)]"
C0060,"[('C0097', 1.0), ('C0151', 0.9998), ('C0014', 0.9994)]"
C0061,"[('C0176', 0.9989), ('C0042', 0.9979), ('C0077', 0.9628)]"
C0062,"[('C0144', 0.9079), ('C0002', 0.8986), ('C0150', 0.8538)]"
C0063,"[('C0078', 0.9387), ('C0071', 0.9318), ('C0131', 0.9316)]"
C0064,"[('C0174', 0.944), ('C0171', 0.9273), ('C0193', 0.8752)]"
C0065,"[('C0104', 0.9798), ('C0012', 0.9739), ('C0113', 0.9175)]"
C0066,"[('C0026', 0.8732), ('C0120', 0.846), ('C0040', 0.802)]"
C0067,"[('C0013', 0.9497), ('C0184', 0.8848), ('C0105', 0.8741)]"
C0068,"[('C0057', 0.9345), ('C0023', 0.9305), ('C0155', 0.9293)]"
C0069,"[('C0001', 0.9473), ('C0190', 0.9405), ('C0091', 0.9379)]"
C0070,"[('C0193', 0.94), ('C0191', 0.8965), ('C0174', 0.8878)]"
C0071,"[('C0131', 0.9924), ('C0073', 0.9884), ('C0063', 0.9318)]"
C0072,"[('C0107', 0.8675), ('C0183', 0.8526), ('C0016', 0.8507)]"
C0073,"[('C0131', 0.9996), ('C0071', 0.9884), ('C0063', 0.9296)]"
C0074,"[('C0044', 0.998), ('C0198', 0.8358), ('C0020', 0.8262)]"
C0075,"[('C0122', 0.9622), ('C0017', 0.9551), ('C0090', 0.9518)]"
C0076,"[('C0164', 0.9326), ('C0086', 0.9284), ('C0189', 0.9198)]"
C0077,"[('C0083', 0.9994), ('C0061', 0.9628), ('C0176', 0.949)]"
C0078,"[('C0180', 0.9656), ('C0123', 0.9496), ('C0015', 0.9487)]"
C0079,"[('C0196', 0.9736), ('C0138', 0.8663), ('C0178', 0.8447)]"
C0080,"[('C0110', 0.9999), ('C0014', 0.9944), ('C0151', 0.9929)]"
C0081,"[('C0047', 0.9328), ('C0116', 0.9232), ('C0065', 0.8662)]"
C0082,"[('C0169', 0.8822), ('C0041', 0.8652), ('C0165', 0.8636)]"
C0083,"[('C0077', 0.9994), ('C0061', 0.953), ('C0176', 0.9377)]"
C0084,"[('C0184', 0.9104), ('C0105', 0.8683), ('C0068', 0.865)]"
C0085,"[('C0140', 0.9164), ('C0095', 0.9043), ('C0123', 0.9)]"
C0086,"[('C0189', 0.9982), ('C0164', 0.98), ('C0076', 0.9284)]"
C0087,"[('C0155', 0.98), ('C0057', 0.975), ('C0101', 0.9294)]"
C0088,"[('C0107', 0.8799), ('C0183', 0.8397), ('C0072', 0.837)]"
C0089,"[('C0128', 0.9437), ('C0159', 0.9118), ('C0080', 0.9002)]"
C0090,"[('C0194', 0.9953), ('C0122', 0.9566), ('C0075', 0.9518)]"
C0091,"[('C0069', 0.9379), ('C0190', 0.9276), ('C0055', 0.9061)]"
C0092,"[('C0056', 0.9112), ('C0040', 0.8834), ('C0034', 0.8416)]"
C0093,"[('C0109', 0.9713), ('C0145', 0.9541), ('C0098', 0.9264)]"
C0094,"[('C0027', 0.9216), ('C0032', 0.8714), ('C0132', 0.8618)]"
C0095,"[('C0140', 0.9921), ('C0014', 0.9526), ('C0130', 0.9523)]"
C0096,"[('C0048', 0.9074), ('C0114', 0.902), ('C0045', 0.8543)]"
C0097,"[('C0060', 1.0), ('C0151', 0.9999), ('C0014', 0.9997)]"
C0098,"[('C0093', 0.9264), ('C0109', 0.9019), ('C0145', 0.8188)]"
C0099,"[('C0022', 0.935), ('C0169', 0.9132), ('C0165', 0.8913)]"
C0100,"[('C0179', 0.9221), ('C0059', 0.9214), ('C0104', 0.92)]"
C0101,"[('C0155', 0.9455), ('C0156', 0.9344), ('C0087', 0.9294)]"
C0102,"[('C0028', 0.9942), ('C0188', 0.989), ('C0101', 0.907)]"
C0103,"[('C0134', 0.8872), ('C0002', 0.8848), ('C0133', 0.8636)]"
C0104,"[('C0065', 0.9798), ('C0059', 0.9297), ('C0012', 0.9281)]"
C0105,"[('C0013', 0.941), ('C0016', 0.89), ('C0183', 0.8883)]"
C0106,"[('C0134', 0.8899), ('C0133', 0.8721), ('C0195', 0.8596)]"
C0107,"[('C0183', 0.9969), ('C0016', 0.9962), ('C0088', 0.8799)]"
C0108,"[('C0024', 0.8609), ('C0145', 0.8605), ('C0124', 0.8582)]"
C0109,"[('C0093', 0.9713), ('C0145', 0.9256), ('C0175', 0.9021)]"
C0110,"[('C0080', 0.9999), ('C0014', 0.9955), ('C0151', 0.9941)]"
C0111,"[('C0010', 0.8684), ('C0030', 0.8295), ('C0029', 0.825)]"
C0112,"[('C0186', 0.9989), ('C0050', 0.9574), ('C0115', 0.9517)]"
C0113,"[('C0090', 0.9514), ('C0194', 0.9397), ('C0122', 0.9317)]"
C0114,"[('C0096', 0.902), ('C0045', 0.7989), ('C0054', 0.7973)]"
C0115,"[('C0050', 0.9998), ('C0112', 0.9517), ('C0186', 0.9363)]"
C0116,"[('C0047', 0.9252), ('C0081', 0.9232), ('C0172', 0.8675)]"
C0117,"[('C0185', 0.7708), ('C0044', 0.7237), ('C0040', 0.7203)]"
C0118,"[('C0021', 0.9048), ('C0068', 0.899), ('C0155', 0.894)]"
C0119,"[('C0157', 0.9856), ('C0199', 0.8514), ('C0146', 0.7489)]"
C0120,"[('C0007', 0.8949), ('C0050', 0.8927), ('C0115', 0.8905)]"
C0121,"[('C0177', 0.9104), ('C0071', 0.883), ('C0131', 0.8379)]"
C0122,"[('C0075', 0.9622), ('C0090', 0.9566), ('C0113', 0.9317)]"
C0123,"[('C0015', 0.9989), ('C0110', 0.9529), ('C0014', 0.9527)]"
C0124,"[('C0024', 0.8691), ('C0108', 0.8582), ('C0081', 0.8092)]"
C0125,"[('C0191', 0.8965), ('C0050', 0.8572), ('C0115', 0.8561)]"
C0126,"[('C0011', 0.9552), ('C0171', 0.934), ('C0153', 0.9098)]"
C0127,"[('C0001', 0.8748), ('C0069', 0.846), ('C0181', 0.8446)]"
C0128,"[('C0014', 0.9461), ('C0151', 0.946), ('C0097', 0.9458)]"
C0129,"[('C0144', 0.914), ('C0140', 0.9065), ('C0198', 0.904)]"
C0130,"[('C0020', 0.9987), ('C0180', 0.9677), ('C0095', 0.9523)]"
C0131,"[('C0073', 0.9996), ('C0071', 0.9924), ('C0063', 0.9316)]"
C0132,"[('C0063', 0.9286), ('C0142', 0.8969), ('C0027', 0.883)]"
C0133,"[('C0002', 0.9681), ('C0134', 0.9193), ('C0106', 0.8721)]"
C0134,"[('C0133', 0.9193), ('C0002', 0.8972), ('C0106', 0.8899)]"
C0135,"[('C0006', 0.9132), ('C0142', 0.8476), ('C0132', 0.8343)]"
C0136,"[('C0037', 0.9653), ('C0012', 0.9319), ('C0160', 0.9278)]"
C0137,"[('C0160', 0.8395), ('C0038', 0.8343), ('C0037', 0.8222)]"
C0138,"[('C0170', 0.9251), ('C0182', 0.9216), ('C0196', 0.9055)]"
C0139,"[('C0147', 0.899), ('C0081', 0.8321), ('C0137', 0.7927)]"
C0140,"[('C0095', 0.9921), ('C0080', 0.9454), ('C0110', 0.9447)]"
C0141,"[('C0173', 0.9219), ('C0046', 0.9127), ('C0143', 0.9034)]"
C0142,"[('C0193', 0.915), ('C0132', 0.8969), ('C0027', 0.8692)]"
C0143,"[('C0145', 0.9731), ('C0053', 0.9607), ('C0141', 0.9034)]"
C0144,"[('C0150', 0.9526), ('C0058', 0.9522), ('C0033', 0.9505)]"
C0145,"[('C0143', 0.9731), ('C0093', 0.9541), ('C0109', 0.9256)]"
C0146,"[('C0035', 1.0), ('C0005', 0.8916), ('C0197', 0.8914)]"
C0147,"[('C0139', 0.899), ('C0161', 0.8756), ('C0024', 0.855)]"
C0148,"[('C0163', 0.8308), ('C0039', 0.747), ('C0051', 0.7334)]"
C0149,"[('C0067', 0.7979), ('C0072', 0.794), ('C0096', 0.7726)]"
C0150,"[('C0058', 0.9996), ('C0033', 0.9979), ('C0180', 0.9658)]"
C0151,"[('C0097', 0.9999), ('C0014', 0.9999), ('C0060', 0.9998)]"
C0152,"[('C0052', 0.8793), ('C0164', 0.8641), ('C0136', 0.8612)]"
C0153,"[('C0126', 0.9098), ('C0011', 0.8711), ('C0171', 0.8465)]"
C0154,"[('C0181', 0.9847), ('C0039', 0.9697), ('C0162', 0.9681)]"
C0155,"[('C0087', 0.98), ('C0057', 0.9644), ('C0101', 0.9455)]"
C0156,"[('C0101', 0.9344), ('C0165', 0.9258), ('C0175', 0.9084)]"
C0157,"[('C0119', 0.9856), ('C0199', 0.8762), ('C0127', 0.7976)]"
C0158,"[('C0003', 0.9374), ('C0166', 0.8954), ('C0031', 0.8352)]"
C0159,"[('C0128', 0.9187), ('C0089', 0.9118), ('C0144', 0.8968)]"
C0160,"[('C0038', 0.9986), ('C0037', 0.9515), ('C0136', 0.9278)]"
C0161,"[('C0147', 0.8756), ('C0156', 0.8333), ('C0101', 0.8124)]"
C0162,"[('C0039', 0.9757), ('C0154', 0.9681), ('C0008', 0.9358)]"
C0163,"[('C0100', 0.8852), ('C0059', 0.8753), ('C0039', 0.865)]"
C0164,"[('C0086', 0.98), ('C0189', 0.9663), ('C0076', 0.9326)]"
C0165,"[('C0169', 0.9809), ('C0156', 0.9258), ('C0099', 0.8913)]"
C0166,"[('C0003', 0.9944), ('C0031', 0.9927), ('C0158', 0.8954)]"
C0167,"[('C0036', 0.9925), ('C0043', 0.9544), ('C0185', 0.9275)]"
C0168,"[('C0018', 0.8687), ('C0023', 0.8446), ('C0125', 0.831)]"
C0169,"[('C0165', 0.9809), ('C0099', 0.9132), ('C0082', 0.8822)]"
C0170,"[('C0182', 0.9999), ('C0138', 0.9251), ('C0100', 0.8988)]"
C0171,"[('C0126', 0.934), ('C0193', 0.9295), ('C0064', 0.9273)]"
C0172,"[('C0047', 0.9153), ('C0038', 0.8942), ('C0160', 0.8843)]"
C0173,"[('C0175', 0.9582), ('C0141', 0.9219), ('C0046', 0.9016)]"
C0174,"[('C0064', 0.944), ('C0193', 0.9025), ('C0070', 0.8878)]"
C0175,"[('C0173', 0.9582), ('C0156', 0.9084), ('C0109', 0.9021)]"
C0176,"[('C0042', 0.9998), ('C0061', 0.9989), ('C0077', 0.949)]"
C0177,"[('C0121', 0.9104), ('C0131', 0.8828), ('C0073', 0.8821)]"
C0178,"[('C0025', 0.9432), ('C0159', 0.8907), ('C0076', 0.883)]"
C0179,"[('C0100', 0.9221), ('C0164', 0.8792), ('C0012', 0.8531)]"
C0180,"[('C0130', 0.9677), ('C0014', 0.9677), ('C0151', 0.9674)]"
C0181,"[('C0154', 0.9847), ('C0162', 0.927), ('C0039', 0.9123)]"
C0182,"[('C0170', 0.9999), ('C0138', 0.9216), ('C0100', 0.8942)]"
C0183,"[('C0016', 1.0), ('C0107', 0.9969), ('C0105', 0.8883)]"
C0184,"[('C0084', 0.9104), ('C0067', 0.8848), ('C0049', 0.8462)]"
C0185,"[('C0167', 0.9275), ('C0036', 0.8748), ('C0144', 0.8053)]"
C0186,"[('C0112', 0.9989), ('C0050', 0.9429), ('C0115', 0.9363)]"
C0187,"[('C0037', 0.8472), ('C0138', 0.8083), ('C0196', 0.8027)]"
C0188,"[('C0028', 0.9992), ('C0102', 0.989), ('C0054', 0.9168)]"
C0189,"[('C0086', 0.9982), ('C0164', 0.9663), ('C0076', 0.9198)]"
C0190,"[('C0055', 0.997), ('C0069', 0.9405), ('C0091', 0.9276)]"
C0191,"[('C0019', 0.9555), ('C0125', 0.8965), ('C0070', 0.8965)]"
C0192,"[('C0186', 0.8843), ('C0112', 0.8789), ('C0120', 0.8296)]"
C0193,"[('C0070', 0.94), ('C0171', 0.9295), ('C0142', 0.915)]"
C0194,"[('C0090', 0.9953), ('C0113', 0.9397), ('C0017', 0.9305)]"
C0195,"[('C0106', 0.8596), ('C0179', 0.8143), ('C0100', 0.7859)]"
C0196,"[('C0079', 0.9736), ('C0138', 0.9055), ('C0170', 0.8075)]"
C0197,"[('C0005', 0.9997), ('C0007', 0.9868), ('C0095', 0.8984)]"
C0198,"[('C0033', 0.9569), ('C0058', 0.956), ('C0150', 0.9545)]"
C0199,"[('C0197', 0.8857), ('C0005', 0.8843), ('C0157', 0.8762)]"
C0200,"[('C0022', 0.9014), ('C0099', 0.8237), ('C0143', 0.8106)]"
